,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,Year,State,Region,Total_Passengers,Fatality_pct,Injured_pct,Airplane_Damage,Airplane_Damage_quant
49961,20010131X00376,Accident,MIA01WA066,2001-01-17,"DIJON, France",France,,,,,Fatal(4),Destroyed,Airplane,,Beech,95-55,No,,,"Non-U.S., Non-Commercial",,Personal,,4.0,0.0,0.0,0.0,VMC,,Foreign,,2001,,,4.0,100.0,0.0,Destroyed,3
49999,20010206X00402,Accident,LAX01WA084,2001-01-26,"Newman, Australia",Australia,-23.811667,119.803333,,,Fatal(4),Destroyed,Airplane,,Cessna,310R,No,,,"Non-U.S., Non-Commercial",,Public Aircraft,,4.0,0.0,0.0,0.0,VMC,,Foreign,,2001,,,4.0,100.0,0.0,Destroyed,3
50100,20010313X00576,Accident,NYC01WA079,2001-02-15,"STAUNING, DENMARK",Denmark,55.988889,8.402778,,,Non-Fatal,Substantial,Airplane,,Cessna,340A,No,,,"Non-U.S., Non-Commercial",,Personal,,0.0,0.0,0.0,6.0,IMC,,Foreign,,2001,,,6.0,0.0,0.0,Substantial,2
50289,20010405X00697,Accident,ATL01LA044,2001-03-30,"CROSS CITY, FL",United States,29.635555,-83.104722,SRQ,Sarasota International Airport,Non-Fatal,Substantial,Airplane,N7640P,Piper,PA-24,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,01-02-2016,2001,FL,SE,2.0,0.0,100.0,Substantial,2
50292,20010417X00770,Accident,ANC01WA043,2001-03-30,"Teslin, Canada",Canada,60.183333,-132.833333,,,Fatal(1),Destroyed,Airplane,N5812F,Cessna,210F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,,Foreign,,2001,,,1.0,100.0,0.0,Destroyed,3
50349,20010417X00765,Accident,MIA01FA117,2001-04-09,"Vero Beach, FL",United States,27.649722,-80.439166,VRB,Vero Beach Municipal,Fatal(2),Destroyed,Airplane,N262MM,Piper,PA-46-500TP,No,1.0,Turbo Prop,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,01-10-2009,2001,FL,SE,2.0,100.0,0.0,Destroyed,3
50364,20010502X00855,Accident,NYC01WA100,2001-04-13,"Sulmona, Italy",Italy,,,,,Fatal(4),Destroyed,Airplane,,Cessna,182,No,,,"Non-U.S., Non-Commercial",,Personal,,4.0,0.0,0.0,0.0,,,Foreign,,2001,,,4.0,100.0,0.0,Destroyed,3
50392,20010503X00865,Accident,MIA01WA132,2001-04-18,"CARACHE, Venezuela",Venezuela,70.216667,-9.633333,,,Fatal(1),Destroyed,Airplane,,Beech,55,No,,,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,,Foreign,,2001,,,1.0,100.0,0.0,Destroyed,3
50501,20010601X01055,Accident,NYC01WA117,2001-05-05,"Nurnberg, Germany",Germany,,,,,Fatal(1),Destroyed,Airplane,,Piper,PA-42-1000,No,,,"Non-U.S., Non-Commercial",,Personal,,1.0,0.0,0.0,0.0,,,Foreign,25-06-2009,2001,,,1.0,100.0,0.0,Destroyed,3
50541,20010529X01019,Accident,IAD01WA057,2001-05-12,"LEICESTER, UNITED KINGDOM",United Kingdom,,,,,Fatal(2),Substantial,Airplane,,Cessna,182S,No,,,"Non-U.S., Non-Commercial",,Personal,,2.0,0.0,0.0,0.0,VMC,,Foreign,,2001,,,2.0,100.0,0.0,Substantial,2
50561,20010517X00948,Accident,WAS01WA007,2001-05-15,"ZUMATLAN, Mexico",Mexico,17.95,-100.916667,,,Fatal(2),Destroyed,Airplane,,Cessna,182,No,,,"Non-U.S., Non-Commercial",,Personal,,2.0,0.0,0.0,0.0,IMC,,Foreign,,2001,,,2.0,100.0,0.0,Destroyed,3
50616,20010601X01048,Accident,IAD01WA060,2001-05-24,"BERLIN, GERMANY",Germany,52.475,13.408333,,,Fatal(2),Substantial,Airplane,,Beech,BE-36,No,,,"Non-U.S., Non-Commercial",,Personal,,2.0,0.0,0.0,0.0,VMC,,Foreign,,2001,,,2.0,100.0,0.0,Substantial,2
50682,20081006X73142,Accident,LAX01FA308,2001-06-03,"LYTLE CREEK, CA",United States,34.241389,-117.539722,,,Fatal(1),Substantial,Airplane,N8253W,Piper,PA-28-181,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,14-01-2009,2001,CA,SW,1.0,100.0,0.0,Substantial,2
50920,20010712X01388,Accident,WAS01RA013,2001-07-03,"SAN IGNACIO, Bolivia",Bolivia,,,,,Fatal(2),Destroyed,Airplane,,Cessna,U206G,No,,,"Non-U.S., Non-Commercial",,Personal,,2.0,2.0,0.0,0.0,VMC,,Foreign,,2001,,,4.0,50.0,50.0,Destroyed,3
51523,20011001X02018,Accident,IAD01LA107,2001-09-25,"MEDINA, OH",United States,,,1G5,MEDINA MUNICIPAL,Non-Fatal,Substantial,Airplane,N39945,Piper,PA-32RT-300T,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,14-03-2011,2001,OH,NE,1.0,0.0,100.0,Substantial,2
51955,20020110X00057,Accident,IAD02FA024,2001-12-30,"MILFORD, CT",United States,41.182223,-73.026945,BDR,Igor I. Sikorsky Airport,Fatal(1),Substantial,Airplane,N7427J,Piper,PA-28R-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,05-06-2013,2001,CT,NE,1.0,100.0,0.0,Substantial,2
51987,20020114X00065,Accident,FTW02LA066,2002-01-10,"ALBUQUERQUE, NM",United States,,,AEG,DOUBLE EAGLE II,Non-Fatal,Substantial,Airplane,N87WW,Piper,PA-46T,No,1.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,02-02-2009,2002,NM,SW,2.0,0.0,0.0,Substantial,2
52013,20020123X00101,Accident,FTW02LA067,2002-01-15,"IRAAN, TX",United States,30.905556,-101.891944,2F0,Iraan Municipal Airport,Non-Fatal,Substantial,Airplane,N509R,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,01-02-2016,2002,TX,SW,1.0,0.0,0.0,Substantial,2
